id,profession,category,question,difficulty,star_required,keywords
42,technical,technical,"Как устроены индексы в базе данных и когда они замедляют работу?",medium,false,"SQL;индексы;базы данных;производительность"
43,technical,technical,"Как бы вы спроектировали сервис сокращения ссылок, который выдерживает высокую нагрузку?",hard,false,"архитектура;system design;масштабирование;кэш"
44,technical,technical,"Какие виды тестирования вы применяете и как решаете, что покрывать автотестами?",medium,false,"тестирование;unit-тесты;QA;CI"
45,technical,behavioral,"Расскажите о самом сложном баге, который вы находили, и как вы его исправили.",medium,true,"отладка;баг;production;инцидент"
46,technical,behavioral,"Опишите случай, когда вы не согласились с техническим решением коллеги.",medium,true,"code review;аргументация;команда"
47,technical,behavioral,"Расскажите, как вы осваивали новую технологию под задачу проекта.",easy,true,"обучение;технологии;проект"
48,technical,situational,"В production упал сервис, а вы дежурный. Опишите свои действия по шагам.",hard,false,"инцидент;production;мониторинг;DevOps"
49,technical,situational,"Вам достался legacy-код без тестов, в который нужно срочно добавить функцию. Как поступите?",medium,false,"legacy;рефакторинг;тестирование"
50,technical,situational,"Менеджер просит выпустить релиз, но вы видите риск потери данных. Что вы сделаете?",medium,false,"релиз;риски;коммуникация;данные"
51,technical,experience,"Расскажите о проекте, где вы отвечали за архитектурное решение. Что получилось?",hard,true,"архитектура;проект;результат"
52,technical,experience,"Как вы улучшали производительность или надёжность системы? Приведите пример с цифрами.",medium,true,"производительность;оптимизация;надёжность;метрики"
